id,identifier,name,category_id,cost,short_effect
598,ground-gem,Ground Gem,42,200,"Held: When the holder uses a damaging []{type:ground}-type move, the move has 1.5× power and this item is consumed."
599,flying-gem,Flying Gem,42,200,"Held: When the holder uses a damaging []{type:flying}-type move, the move has 1.5× power and this item is consumed."
600,psychic-gem,Psychic Gem,42,200,"Held: When the holder uses a damaging []{type:psychic}-type move, the move has 1.5× power and this item is consumed."
601,bug-gem,Bug Gem,42,200,"Held: When the holder uses a damaging []{type:bug}-type move, the move has 1.5× power and this item is consumed."
602,rock-gem,Rock Gem,42,200,"Held: When the holder uses a damaging []{type:rock}-type move, the move has 1.5× power and this item is consumed."
603,ghost-gem,Ghost Gem,42,200,"Held: When the holder uses a damaging []{type:ghost}-type move, the move has 1.5× power and this item is consumed."
604,dark-gem,Dark Gem,42,200,"Held: When the holder uses a damaging []{type:dark}-type move, the move has 1.5× power and this item is consumed."
605,steel-gem,Steel Gem,42,200,"Held: When the holder uses a damaging []{type:steel}-type move, the move has 1.5× power and this item is consumed."
606,health-wing,Health Wing,26,300,Increases [HP]{mechanic:hp} [effort]{mechanic:effort} by 1.
607,muscle-wing,Muscle Wing,26,300,Increases [Attack]{mechanic:attack} [effort]{mechanic:effort} by 1.
608,resist-wing,Resist Wing,26,300,Increases [Defense]{mechanic:defense} [effort]{mechanic:effort} by 1.
609,genius-wing,Genius Wing,26,300,Increases [Special Attack]{mechanic:special-attack} [effort]{mechanic:effort} by 1.
610,clever-wing,Clever Wing,26,300,Increases [Special Defense]{mechanic:special-defense} [effort]{mechanic:effort} by 1.
611,swift-wing,Swift Wing,26,300,Increases [Speed]{mechanic:speed} [effort]{mechanic:effort} by 1.
612,pretty-wing,Pretty Wing,24,1000,Sell for 100 Pokédollars.
613,cover-fossil,Cover Fossil,35,7000,Can be revived into a []{pokemon:tirtouga}.
614,plume-fossil,Plume Fossil,35,7000,Can be revived into a []{pokemon:archen}.
615,liberty-pass,Liberty Pass,20,0,Allows access to Liberty Garden and Victini.
616,pass-orb,Pass Orb,12,200,Activates Pass Powers.
617,dream-ball,Dream Ball,33,0,Catches Pokémon found in the Dream World.
618,poke-toy,Poké Toy,11,100,Ends a wild battle.
619,prop-case,Prop Case,21,0,Stores props for the Pokémon Musical.
620,dragon-skull,Dragon Skull,22,0,Return to the museum in Nacrene City.
621,balm-mushroom,Balm Mushroom,24,15000,Sell to Hungry Maid for 25000 Pokédollars.
622,big-nugget,Big Nugget,24,40000,Sell to Ore Collector for 30000 Pokédollars.
623,pearl-string,Pearl String,24,30000,Sell to Ore Collector for 25000 Pokédollars.
624,comet-shard,Comet Shard,24,60000,Sell to Ore Collector for 60000 Pokédollars.
625,relic-copper,Relic Copper,24,0,Sell to Villa Owner for 1000 Pokédollars.
626,relic-silver,Relic Silver,24,0,Sell to Villa Owner 5000 Pokédollars.
627,relic-gold,Relic Gold,24,60000,Sell to Villa Owner 10000 Pokédollars.
628,relic-vase,Relic Vase,24,0,Sell to Villa Owner 50000 Pokédollars.
629,relic-band,Relic Band,24,0,Sell to Villa Owner for 100000 Pokédollars.
630,relic-statue,Relic Statue,24,0,Sell to Villa Owner 200000 Pokédollars.
631,relic-crown,Relic Crown,24,0,Sell to Villa Owner for 300000 Pokédollars.
632,casteliacone,Casteliacone,30,350,Cures any status ailment and confusion.
633,dire-hit-2,Dire Hit 2,43,0,Raises [critical hit]{mechanic:critical-hit} rate by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.
634,x-speed-2,X Speed 2,43,0,Raises [Speed]{mechanic:speed} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.
635,x-sp-atk-2,X Sp. Atk 2,43,0,Raises [Special Attack]{mechanic:special-attack} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.
636,x-sp-def-2,X Sp. Def 2,43,0,Raises [Special Defense]{mechanic:special-defense} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.
637,x-defense-2,X Defense 2,43,0,Raises [Defense]{mechanic:defense} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.
638,x-attack-2,X Attack 2,43,0,Raises [Attack]{mechanic:attack} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.
639,x-accuracy-2,X Accuracy 2,43,0,Raises [accuracy]{mechanic:accuracy} by two [stages]{mechanic:stage} in battle.  Wonder Launcher only.
640,x-speed-3,X Speed 3,43,0,Raises [Speed]{mechanic:speed} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.
641,x-sp-atk-3,X Sp. Atk 3,43,0,Raises [Special Attack]{mechanic:special-attack} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.
642,x-sp-def-3,X Sp. Def 3,43,0,Raises [Special Defense]{mechanic:special-defense} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.
643,x-defense-3,X Defense 3,43,0,Raises [Defense]{mechanic:defense} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.
644,x-attack-3,X Attack 3,43,0,Raises [Attack]{mechanic:attack} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.
645,x-accuracy-3,X Accuracy 3,43,0,Raises [accuracy]{mechanic:accuracy} by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.
646,x-speed-6,X Speed 6,43,0,Raises [Speed]{mechanic:speed} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.
647,x-sp-atk-6,X Sp. Atk 6,43,0,Raises [Special Attack]{mechanic:special-attack} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.
648,x-sp-def-6,X Sp. Def 6,43,0,Raises [Special Defense]{mechanic:special-defense} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.
649,x-defense-6,X Defense 6,43,0,Raises [Defense]{mechanic:defense} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.
650,x-attack-6,X Attack 6,43,0,Raises [Attack]{mechanic:attack} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.
651,x-accuracy-6,X Accuracy 6,43,0,Raises [accuracy]{mechanic:accuracy} by six [stages]{mechanic:stage} in battle.  Wonder Launcher only.
652,ability-urge,Ability Urge,43,0,Forcibly activates a friendly Pokémon's ability.
653,item-drop,Item Drop,43,0,Forces a friendly Pokémon to drop its held item.
654,item-urge,Item Urge,43,0,Forcibly activates a friendly Pokémon's held item.
655,reset-urge,Reset Urge,43,0,Resets a friendly Pokémon's stat changes.
656,dire-hit-3,Dire Hit 3,43,0,Raises [critical hit]{mechanic:critical-hit} rate by three [stages]{mechanic:stage} in battle.  Wonder Launcher only.
657,light-stone,Light Stone,22,0,Summons Reshiram for the final battle against N.
658,dark-stone,Dark Stone,22,0,Summons Zekrom for the final battle against N.
659,tm93,TM93,37,50000,Teaches Wild Charge to a compatible Pokémon.
660,tm94,TM94,37,30000,Teaches Rock Smash to a compatible Pokémon.
661,tm95,TM95,37,10000,Teaches Snarl to a compatible Pokémon.
662,xtransceiver,Xtransceiver,21,0,Makes four-way video calls.
663,god-stone,god stone,23,0,Unknown.  Currently unused.
664,gram-1,Gram 1,22,0,Part of a sidequest to obtain []{item:tm89}.
665,gram-2,Gram 2,22,0,Part of a sidequest to obtain []{item:tm89}.
666,gram-3,Gram 3,22,0,Part of a sidequest to obtain []{item:tm89}.
668,dragon-gem,Dragon Gem,42,200,"Held: When the holder uses a damaging []{type:dragon}-type move, the move has 1.5× power and this item is consumed."
669,normal-gem,Normal Gem,42,4000,"Held: When the holder uses a damaging []{type:normal}-type move, the move has 1.5× power and this item is consumed."
670,medal-box,Medal Box,21,0,Holds medals recieved in the medal rally.
671,dna-splicers,DNA Splicers,21,0,"Fuses Kyurem with Reshiram or Zekrom, or splits them apart again."
673,permit,Permit,21,0,Grants access to the Nature Preserve.
674,oval-charm,Oval Charm,21,0,Doubles the chance of two Pokémon producing an egg at the daycare every 255 steps.
675,shiny-charm,Shiny Charm,21,0,Raises the chance of finding a shiny Pokémon.
676,plasma-card,Plasma Card,22,0,Required to progress in the Plasma Frigate.
677,grubby-hanky,Grubby Hanky,22,0,Appears in the Café Warehouse on Sunday; return to the customer with a Patrat on Thursday.
678,colress-machine,Colress Machine,22,0,Wakes up the Crustle blocking the way in Seaside Cave.
679,dropped-item,Dropped Item,22,0,Returned to Curtis or Yancy as part of a sidequest.
681,reveal-glass,Reveal Glass,21,0,"Switches Tornadus, Thundurus, and Landorus between Incarnate and Therian Forme."
682,weakness-policy,Weakness Policy,12,1000,"Held: When the holder is hit by a super effective move, its Attack and Special Attack raise by two stages."
683,assault-vest,Assault Vest,12,1000,Raises the holder's Special Defense to 1.5×.  Prevents the holder from selecting a status move.
684,pixie-plate,Pixie Plate,17,1000,Held: Fairy-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fairy.
685,ability-capsule,Ability Capsule,26,10000,Switches a Pokémon between its two possible (non-Hidden) Abilities.
686,whipped-dream,Whipped Dream,10,2000,Traded on a Swirlix: Holder evolves into Slurpuff.
687,sachet,Sachet,10,2000,Traded on a Spritzee: Holder evolves into Aromatisse.
688,luminous-moss,Luminous Moss,12,4000,"Held: If the holder is hit by a damaging Water move, raises its Special Defense by one stage."
689,snowball,Snowball,12,4000,"Held: If the holder is hit by a damaging Ice move, raises its Attack by one stage."
690,safety-goggles,Safety Goggles,12,4000,Held: Prevents damage from powder moves and the damage from Hail and Sandstorm.
691,rich-mulch,Rich Mulch,32,200,Increases the total number of Berries by 2.
692,surprise-mulch,Surprise Mulch,32,200,Increases the chance of Berry mutation.
693,boost-mulch,Boost Mulch,32,200,Causes soil to dry out in 4 hours.
694,amaze-mulch,Amaze Mulch,32,200,"Increases the total number of Berries by 2, increases the chance of Berry mutation, and causes soil to dry out in 4 hours."
695,gengarite,Gengarite,44,0,Held: Allows Gengar to Mega Evolve into Mega Gengar.
696,gardevoirite,Gardevoirite,44,0,Held: Allows Gardevoir to Mega Evolve into Mega Gardevoir.
697,ampharosite,Ampharosite,44,0,Held: Allows Ampharos to Mega Evolve into Mega Ampharos.
698,venusaurite,Venusaurite,44,0,Held: Allows Venusaur to Mega Evolve into Mega Venusaur.
699,charizardite-x,Charizardite X,44,0,Held: Allows Charizard to Mega Evolve into Mega Charizard X.
700,blastoisinite,Blastoisinite,44,0,Held: Allows Blastoise to Mega Evolve into Mega Blastoise.
701,mewtwonite-x,Mewtwonite X,44,0,Held: Allows Mewtwo to Mega Evolve into Mega Mewtwo X.
702,mewtwonite-y,Mewtwonite Y,44,0,Held: Allows Mewtwo to Mega Evolve into Mega Mewtwo Y.
703,blazikenite,Blazikenite,44,0,Held: Allows Blaziken to Mega Evolve into Mega Blaziken.
704,medichamite,Medichamite,44,0,Held: Allows Medicham to Mega Evolve into Mega Medicham.
705,houndoominite,Houndoominite,44,0,Held: Allows Houndoom to Mega Evolve into Mega Houndoom.
706,aggronite,Aggronite,44,0,Held: Allows Aggron to Mega Evolve into Mega Aggron.
707,banettite,Banettite,44,0,Held: Allows Banette to Mega Evolve into Mega Banette.
708,tyranitarite,Tyranitarite,44,0,Held: Allows Tyranitar to Mega Evolve into Mega Tyranitar.
709,scizorite,Scizorite,44,0,Held: Allows Scizor to Mega Evolve into Mega Scizor.
710,pinsirite,Pinsirite,44,0,Held: Allows Pinsir to Mega Evolve into Mega Pinsir.
711,aerodactylite,Aerodactylite,44,0,Held: Allows Aerodactyl to Mega Evolve into Mega Aerodactyl.
712,lucarionite,Lucarionite,44,0,Held: Allows Lucario to Mega Evolve into Mega Lucario.
713,abomasite,Abomasite,44,0,Held: Allows Abomasnow to Mega Evolve into Mega Abomasnow.
714,kangaskhanite,Kangaskhanite,44,0,Held: Allows Kangaskhan to Mega Evolve into Mega Kangaskhan.
715,gyaradosite,Gyaradosite,44,0,Held: Allows Gyarados to Mega Evolve into Mega Gyarados.
716,absolite,Absolite,44,0,Held: Allows Absol to Mega Evolve into Mega Absol.
717,charizardite-y,Charizardite Y,44,0,Held: Allows Charizard to Mega Evolve into Mega Charizard Y.
718,alakazite,Alakazite,44,0,Held: Allows Alakazam to Mega Evolve into Mega Alakazam.
719,heracronite,Heracronite,44,0,Held: Allows Heracross to Mega Evolve into Mega Heracross.
720,mawilite,Mawilite,44,0,Held: Allows Mawile to Mega Evolve into Mega Mawile.
721,manectite,Manectite,44,0,Held: Allows Manectric to Mega Evolve into Mega Manectric.
722,garchompite,Garchompite,44,0,Held: Allows Garchomp to Mega Evolve into Mega Garchomp.
723,roseli-berry,Roseli Berry,7,20,Held: Consumed when struck by a super-effective Fairy-type attack to halve the damage.
724,kee-berry,Kee Berry,4,20,"Held: When the holder is hit by a physical move, increases its Defense by one stage."
725,maranga-berry,Maranga Berry,4,20,"Held: When the holder is hit by a special move, increases its Special Defense by one stage."
726,discount-coupon,Discount Coupon,24,20,Can be used at a boutique for a 50% discount.  Consumed once used.
727,strange-souvenir,Strange Souvenir,24,3000,Vendor trash.
728,lumiose-galette,Lumiose Galette,30,350,Cures all major status ailments and confusion.
729,jaw-fossil,Jaw Fossil,35,7000,Can be revived into a Tyrunt.
730,sail-fossil,Sail Fossil,35,7000,Can be revived into an Amaura.
731,fairy-gem,Fairy Gem,42,200,"Held: When the holder uses a damaging Fairy move, the move has 1.5× power and this item is consumed."
732,adventure-rules,Adventure Rules,21,0,Contains basic gameplay information.
733,elevator-key,Elevator Key,22,0,Unlocks the elevator in Lysandre Labs.
734,holo-caster,Holo Caster,21,0,Displays cutscene conversations as the plot advances.
735,honor-of-kalos,Honor of Kalos,22,0,"Does nothing, but signifies becoming Champion."
736,intriguing-stone,Intriguing Stone,22,0,"Trade for a Sun Stone in X and Y, or Pidgeotite in Omega Ruby and Alpha Sapphire."
737,lens-case,Lens Case,21,0,Allows the player to change their eye color.
738,looker-ticket,Looker Ticket,22,0,Advances the Looker postgame plot.
739,mega-ring,Mega Ring,21,0,Allows the player's Pokémon to Mega Evolve.
740,power-plant-pass,Power Plant Pass,22,0,Permits entry to the Kalos Power Plant.
741,profs-letter,Prof’s Letter,22,0,Traded to the player's mom for the Town Map and a Potion.
742,roller-skates,Roller Skates,21,0,Allows the player to move quickly and off the grid.
743,sprinklotad,Sprinklotad,21,0,Waters Berry plants.
744,tmv-pass,TMV Pass,21,0,Permits access to Kiloude City.
745,tm96,TM96,37,10000,Teaches a Pokémon TM96.
746,tm97,TM97,37,10000,Teaches a Pokémon TM97.
747,tm98,TM98,37,30000,Teaches a Pokémon TM98.
748,tm99,TM99,37,10000,Teaches a Pokémon TM99.
749,tm100,TM100,37,5000,Teaches a Pokémon TM100.
760,latiasite,Latiasite,44,0,Held: Allows Latias to Mega Evolve into Mega Latias.
761,latiosite,Latiosite,44,0,Held: Allows Latios to Mega Evolve into Mega Latios.
762,common-stone,Common Stone,23,0,Unknown.
763,makeup-bag,Makeup Bag,21,0,Allows the player to change their lipstick color.
764,travel-trunk,Travel Trunk,23,0,"Unobtainable, but allows the player to change clothes anywhere."
765,shalour-sable,Shalour Sable,30,350,Cures any major status ailment and confusion.
768,mega-charm,Mega Charm,23,0,Unused Key Stone.
769,mega-glove,Mega Glove,23,0,Unused NPC Key Stone.
770,devon-parts,Devon Parts,22,0,Allows Captain Stern to set out on his expedition.
772,pokeblock-kit,Pokéblock Kit,21,0,Creates and stores Pokéblocks.
773,key-to-room-1,Key to Room 1,22,0,Unlocks the door to Room 1 in Sea Mauville.
774,key-to-room-2,Key to Room 2,22,0,Unlocks the door to Room 2 in Sea Mauville.
775,key-to-room-4,Key to Room 4,22,0,Unlocks the door to Room 4 in Sea Mauville.
776,key-to-room-6,Key to Room 6,22,0,Unlocks the door to Room 6 in Sea Mauville.
779,devon-scuba-gear,Devon Scuba Gear,22,0,Worn by the player while underwater.
780,contest-costume--jacket,Contest Costume,21,0,Worn during Pokémon Contests.
782,magma-suit,Magma Suit,22,0,Allows the player to ride Groudon in the Cave of Origin.
783,aqua-suit,Aqua Suit,22,0,Allows the player to ride Kyogre in the Cave of Origin.
784,pair-of-tickets,Pair of Tickets,22,0,Allows the player and their mother to see the star show in the Mossdeep Space Center.
785,mega-bracelet,Mega Bracelet,21,0,Allows the player's Pokémon to Mega Evolve.
786,mega-pendant,Mega Pendant,23,0,Unused NPC Key Stone.
787,mega-glasses,Mega Glasses,23,0,Unused NPC Key Stone.
788,mega-anchor,Mega Anchor,23,0,Unused NPC Key Stone.
789,mega-stickpin,Mega Stickpin,23,0,Unused NPC Key Stone.
790,mega-tiara,Mega Tiara,23,0,Unused NPC Key Stone.
791,mega-anklet,Mega Anklet,23,0,Unused NPC Key Stone.
793,swampertite,Swampertite,44,0,Held: Allows Swampert to Mega Evolve into Mega Swampert.
794,sceptilite,Sceptilite,44,0,Held: Allows Sceptile to Mega Evolve into Mega Sceptile.
795,sablenite,Sablenite,44,0,Held: Allows Sableye to Mega Evolve into Mega Sableye.
796,altarianite,Altarianite,44,0,Held: Allows Altaria to Mega Evolve into Mega Altaria.
797,galladite,Galladite,44,0,Held: Allows Gallade to Mega Evolve into Mega Gallade.
798,audinite,Audinite,44,0,Held: Allows Audino to Mega Evolve into Mega Audino.
799,metagrossite,Metagrossite,44,0,Held: Allows Metagross to Mega Evolve into Mega Metagross.
800,sharpedonite,Sharpedonite,44,0,Held: Allows Sharpedo to Mega Evolve into Mega Sharpedo.
801,slowbronite,Slowbronite,44,0,Held: Allows Slowbro to Mega Evolve into Mega Slowbro.
802,steelixite,Steelixite,44,0,Held: Allows Steelix to Mega Evolve into Mega Steelix.
803,pidgeotite,Pidgeotite,44,0,Held: Allows Pidgeot to Mega Evolve into Mega Pidgeot.
804,glalitite,Glalitite,44,0,Held: Allows Glalie to Mega Evolve into Mega Glalie.
805,diancite,Diancite,44,0,Held: Allows Diancie to Mega Evolve into Mega Diancie.
806,prison-bottle,Prison Bottle,21,0,Transforms Hoopa into its Unbound form for up to three days.
807,mega-cuff,Mega Cuff,23,0,Unused Key Stone.
808,cameruptite,Cameruptite,44,0,Held: Allows Camerupt to Mega Evolve into Mega Camerupt.
809,lopunnite,Lopunnite,44,0,Held: Allows Lopunny to Mega Evolve into Mega Lopunny.
810,salamencite,Salamencite,44,0,Held: Allows Salamence to Mega Evolve into Mega Salamence.
811,beedrillite,Beedrillite,44,0,Held: Allows Beedrill to Mega Evolve into Mega Beedrill.
814,key-stone,Key Stone,21,0,Allows the player's Pokémon to Mega Evolve.
815,meteorite-shard,Meteorite Shard,22,0,"Causes the Meteorite to transform to its final form, allowing Rayquaza to Mega Evolve."
816,eon-flute,Eon Flute,21,0,Summons Latias or Latios for a ride.
817,normalium-z--held,Normalium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Normal moves.
818,firium-z--held,Firium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Fire moves.
819,waterium-z--held,Waterium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Water moves.
820,electrium-z--held,Electrium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Electric moves.
821,grassium-z--held,Grassium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Grass moves.
822,icium-z--held,Icium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Ice moves.
823,fightinium-z--held,Fightinium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Fighting moves.
824,poisonium-z--held,Poisonium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Poison moves.
825,groundium-z--held,Groundium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Ground moves.
826,flyinium-z--held,Flyinium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Flying moves.
827,psychium-z--held,Psychium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Psychic moves.
828,buginium-z--held,Buginium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Bug moves.
829,rockium-z--held,Rockium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Rock moves.
830,ghostium-z--held,Ghostium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Ghost moves.
831,dragonium-z--held,Dragonium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Dragon moves.
832,darkinium-z--held,Darkinium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Dark moves.
833,steelium-z--held,Steelium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Steel moves.
834,fairium-z--held,Fairium Z,46,0,Held: Allows a Pokémon to use the Z-move equivalents of its Fairy moves.
835,pikanium-z--held,Pikanium Z,46,0,Held: Allows Pikachu to upgrade Volt Tackle into Catastropika.
836,bottle-cap,Bottle Cap,24,5000,Trade to Mr. Hyper to maximize one of a Pokémon's genes.
837,gold-bottle-cap,Gold Bottle Cap,24,10000,Trade to Mr. Hyper to maximize all of a Pokémon's genes.
838,z-ring,Z-Ring,21,0,Allows the player's Pokémon to use Z-moves.
839,decidium-z--held,Decidium Z,46,0,Held: Allows Decidueye to upgrade Spirit Shackle into Sinister Arrow Raid.
840,incinium-z--held,Incinium Z,46,0,Held: Allows Incineroar to upgrade Darkest Lariat into Malicious Moonsault.
841,primarium-z--held,Primarium Z,46,0,Held: Allows Primarina to upgrade Sparkling Aria into Oceanic Operetta.
842,tapunium-z--held,Tapunium Z,46,0,Held: Allows the Tapus to upgrade Nature's Madness into Guardian of Alola.
843,marshadium-z--held,Marshadium Z,46,0,Held: Allows Marshadow to upgrade Spectral Thief into Soul-Stealing 7 Star Strike.
844,aloraichium-z--held,Aloraichium Z,46,0,Held: Allows Alola Raichu to upgrade Thunderbolt into Stoked Sparksurfer.
845,snorlium-z--held,Snorlium Z,46,0,Held: Allows Snorlax to upgrade Giga Impact into Pulverizing Pancake.
846,eevium-z--held,Eevium Z,46,0,Held: Allows Eevee to upgrade Last Resort into Extreme Evoboost.
847,mewnium-z--held,Mewnium Z,46,0,Held: Allows Mew to upgrade Psychic into Genesis Supernova.
877,pikashunium-z--held,Pikashunium Z,46,0,"Held: Allows cap-wearing Pikachu to upgrade Thunderbolt into 10,000,000 Volt Thunderbolt."
878,forage-bag,Forage Bag,21,0,Holds ingredients during Mallow's trial.
879,fishing-rod,Fishing Rod,21,0,Allows the player to fish for Pokémon.
880,professors-mask,Professor’s Mask,22,0,Lost by Professor Kukui.
881,festival-ticket,Festival Ticket,21,10,Hosts a mission in Festival Plaza.
882,sparkling-stone,Sparkling Stone,22,0,Required to obtain a Z-Ring.
883,adrenaline-orb,Adrenaline Orb,12,300,Makes wild Pokémon more likely to summon allies.  Held: increases the holder's Speed by one stage when affected by Intimidate.
884,zygarde-cube,Zygarde Cube,21,0,Contains collected Zygarde cells/cores.  Can teach Zygarde moves.
885,ice-stone,Ice Stone,10,3000,Evolves an Alola Sandshrew into Alola Sandslash or an Alola Vulpix into Alola Ninetales.
886,ride-pager,Ride Pager,23,0,Allows the player to summon a Ride Pokémon.
887,beast-ball,Beast Ball,33,0,Tries to catch a wild Pokémon.  Success rate is 5× for Ultra Beasts and 0.1× for all other Pokémon.
888,big-malasada,Big Malasada,30,350,Cures major status ailments and confusion.
889,red-nectar,Red Nectar,18,300,Changes Oricorio to Baile Style.
890,yellow-nectar,Yellow Nectar,18,300,Changes Oricorio to Pom-Pom Style.
891,pink-nectar,Pink Nectar,18,300,Changes Oricorio to Pa’u Style.
892,purple-nectar,Purple Nectar,18,300,Changes Oricorio to Sensu Style.
893,sun-flute,Sun Flute,22,0,Evolves Nebby into Solgaleo when used at the Altar of the Sunne.
894,moon-flute,Moon Flute,22,0,Evolves Nebby into Lunala when used at the Altar of the Moone.
895,enigmatic-card,Enigmatic Card,22,0,Unlocks Looker's motel room on Route 8.
896,terrain-extender,Terrain Extender,12,4000,Held: Extends the holder's Terrain effects to 8 turns.
897,protective-pads,Protective Pads,12,4000,Held: Prevents side effects of contact moves used on the holder.
898,electric-seed,Electric Seed,12,4000,Held: Consumed on Electric Terrain and raises the holder's Defense by one stage.
899,psychic-seed,Psychic Seed,12,4000,Held: Consumed on Psychic Terrain and raises the holder's Special Defense by one stage.
900,misty-seed,Misty Seed,12,4000,Held: Consumed on Misty Terrain and raises the holder's Special Defense by one stage.
901,grassy-seed,Grassy Seed,12,4000,Held: Consumed on Grassy Terrain and raises the holder's Defense by one stage.
902,fighting-memory,Fighting Memory,45,1000,Held: Changes Silvally to its Fighting form.  Changes Multi-Attack's type to Fighting.
903,flying-memory,Flying Memory,45,1000,Held: Changes Silvally to its Flying form.  Changes Multi-Attack's type to Flying.
904,poison-memory,Poison Memory,45,1000,Held: Changes Silvally to its Poison form.  Changes Multi-Attack's type to Poison.
905,ground-memory,Ground Memory,45,1000,Held: Changes Silvally to its Ground form.  Changes Multi-Attack's type to Ground.
906,rock-memory,Rock Memory,45,1000,Held: Changes Silvally to its Rock form.  Changes Multi-Attack's type to Rock.
907,bug-memory,Bug Memory,45,1000,Held: Changes Silvally to its Bug form.  Changes Multi-Attack's type to Bug.
908,ghost-memory,Ghost Memory,45,1000,Held: Changes Silvally to its Ghost form.  Changes Multi-Attack's type to Ghost.
909,steel-memory,Steel Memory,45,1000,Held: Changes Silvally to its Steel form.  Changes Multi-Attack's type to Steel.
910,fire-memory,Fire Memory,45,1000,Held: Changes Silvally to its Fire form.  Changes Multi-Attack's type to Fire.
911,water-memory,Water Memory,45,1000,Held: Changes Silvally to its Water form.  Changes Multi-Attack's type to Water.
912,grass-memory,Grass Memory,45,1000,Held: Changes Silvally to its Grass form.  Changes Multi-Attack's type to Grass.
913,electric-memory,Electric Memory,45,1000,Held: Changes Silvally to its Electric form.  Changes Multi-Attack's type to Electric.
914,psychic-memory,Psychic Memory,45,1000,Held: Changes Silvally to its Psychic form.  Changes Multi-Attack's type to Psychic.
915,ice-memory,Ice Memory,45,1000,Held: Changes Silvally to its Ice form.  Changes Multi-Attack's type to Ice.
916,dragon-memory,Dragon Memory,45,1000,Held: Changes Silvally to its Dragon form.  Changes Multi-Attack's type to Dragon.
917,dark-memory,Dark Memory,45,1000,Held: Changes Silvally to its Dark form.  Changes Multi-Attack's type to Dark.
918,fairy-memory,Fairy Memory,45,1000,Held: Changes Silvally to its Fairy form.  Changes Multi-Attack's type to Fairy.
919,bike--green,Bike,23,0,XXX new effect for bike--green
920,storage-key--galactic-warehouse,Storage Key,23,0,XXX new effect for storage-key--galactic-warehouse
921,basement-key--goldenrod,Basement Key,23,0,XXX new effect for basement-key--goldenrod
922,xtranceiver--red,Xtransceiver,23,0,XXX new effect for xtranceiver--red
923,xtranceiver--yellow,Xtransceiver,23,0,XXX new effect for xtranceiver--yellow
924,dna-splicers--merge,DNA Splicers,23,0,XXX new effect for dna-splicers--merge
925,dna-splicers--split,DNA Splicers,23,0,XXX new effect for dna-splicers--split
926,dropped-item--red,Dropped Item,23,0,XXX new effect for dropped-item--red
927,dropped-item--yellow,Dropped Item,23,0,XXX new effect for dropped-item--yellow
928,holo-caster--green,Holo Caster,23,0,XXX new effect for holo-caster--green
929,bike--yellow,Bike,23,0,XXX new effect for bike--yellow
930,holo-caster--red,Holo Caster,23,0,XXX new effect for holo-caster--red
931,basement-key--new-mauville,Basement Key,23,0,XXX new effect for basement-key--new-mauville
932,storage-key--sea-mauville,Storage Key,23,0,XXX new effect for storage-key--sea-mauville
933,ss-ticket--hoenn,S.S. Ticket,23,0,XXX new effect for ss-ticket--hoenn
934,contest-costume--dress,Contest Costume,23,0,XXX new effect for contest-costume--dress
935,meteorite--2,Meteorite,23,0,XXX new effect for meteorite--2
936,meteorite--3,Meteorite,23,0,XXX new effect for meteorite--3
937,meteorite--4,Meteorite,23,0,XXX new effect for meteorite--4
938,normalium-z--bag,Normalium Z,23,0,XXX new effect for normalium-z--bag
939,firium-z--bag,Firium Z,23,0,XXX new effect for firium-z--bag
940,waterium-z--bag,Waterium Z,23,0,XXX new effect for waterium-z--bag
